n,topo_dir,kp_class,density,seed,n_nodes,n_arcs,topology,n_macroitems,algorithm_ms
10,forest,neg_strongly_corr,dense,1,10,9,forest,9,0.017000
10,forest,neg_strongly_corr,dense,2,10,8,forest,6,0.014000
10,forest,neg_strongly_corr,dense,3,10,7,inforest,6,0.012000
10,forest,neg_strongly_corr,dense,4,10,8,forest,8,0.010000
10,forest,neg_strongly_corr,dense,5,10,9,forest,5,0.014000
10,forest,neg_strongly_corr,dense,6,10,8,forest,7,0.010000
10,forest,neg_strongly_corr,dense,7,10,9,forest,7,0.010000
10,forest,neg_strongly_corr,dense,8,10,7,forest,8,0.012000
10,forest,neg_strongly_corr,dense,9,10,8,forest,6,0.012000
10,forest,neg_strongly_corr,dense,10,10,9,forest,5,0.008000
20,forest,neg_strongly_corr,dense,1,20,18,forest,12,0.020000
20,forest,neg_strongly_corr,dense,2,20,17,forest,12,0.016000
20,forest,neg_strongly_corr,dense,3,20,17,forest,11,0.022000
20,forest,neg_strongly_corr,dense,4,20,16,forest,11,0.019000
20,forest,neg_strongly_corr,dense,5,20,19,forest,11,0.024000
20,forest,neg_strongly_corr,dense,6,20,16,forest,13,0.019000
20,forest,neg_strongly_corr,dense,7,20,17,forest,13,0.020000
20,forest,neg_strongly_corr,dense,8,20,17,forest,14,0.018000
20,forest,neg_strongly_corr,dense,9,20,17,forest,14,0.027000
20,forest,neg_strongly_corr,dense,10,20,16,forest,11,0.030000
30,forest,neg_strongly_corr,dense,1,30,26,forest,17,0.031000
30,forest,neg_strongly_corr,dense,2,30,24,forest,18,0.028000
30,forest,neg_strongly_corr,dense,3,30,27,forest,19,0.044000
30,forest,neg_strongly_corr,dense,4,30,27,forest,14,0.029000
30,forest,neg_strongly_corr,dense,5,30,28,forest,8,0.051000
30,forest,neg_strongly_corr,dense,6,30,25,forest,15,0.031000
30,forest,neg_strongly_corr,dense,7,30,28,forest,15,0.035000
30,forest,neg_strongly_corr,dense,8,30,23,forest,22,0.024000
30,forest,neg_strongly_corr,dense,9,30,28,forest,14,0.028000
30,forest,neg_strongly_corr,dense,10,30,25,forest,13,0.023000
40,forest,neg_strongly_corr,dense,1,40,38,forest,25,0.048000
40,forest,neg_strongly_corr,dense,2,40,37,forest,23,0.051000
40,forest,neg_strongly_corr,dense,3,40,36,forest,20,0.088000
40,forest,neg_strongly_corr,dense,4,40,38,forest,22,0.044000
40,forest,neg_strongly_corr,dense,5,40,33,forest,22,0.032000
40,forest,neg_strongly_corr,dense,6,40,34,forest,20,0.031000
