n,topo_dir,kp_class,density,seed,n_nodes,n_arcs,topology,n_macroitems,algorithm_ms
10000,inforest,neg_strongly_corr,dense,1,10000,8985,inforest,2781,6.713000
10000,inforest,neg_strongly_corr,dense,2,10000,9014,inforest,2813,8.845000
10000,inforest,neg_strongly_corr,dense,3,10000,8983,inforest,2871,6.500000
10000,inforest,neg_strongly_corr,dense,4,10000,9042,inforest,2776,6.298000
10000,inforest,neg_strongly_corr,dense,5,10000,8938,inforest,2837,8.301000
10000,inforest,neg_strongly_corr,dense,6,10000,8986,inforest,2841,7.337000
10000,inforest,neg_strongly_corr,dense,7,10000,8973,inforest,2812,6.117000
10000,inforest,neg_strongly_corr,dense,8,10000,9026,inforest,2795,6.099000
10000,inforest,neg_strongly_corr,dense,9,10000,9003,inforest,2882,6.134000
10000,inforest,neg_strongly_corr,dense,10,10000,8982,inforest,2799,6.429000
10000,inforest,neg_strongly_corr,medium,1,10000,5953,inforest,2938,4.807000
10000,inforest,neg_strongly_corr,medium,2,10000,5970,inforest,2939,6.994000
10000,inforest,neg_strongly_corr,medium,3,10000,5917,inforest,2936,4.919000
10000,inforest,neg_strongly_corr,medium,4,10000,5963,inforest,2991,4.968000
10000,inforest,neg_strongly_corr,medium,5,10000,5996,inforest,2936,6.731000
10000,inforest,neg_strongly_corr,medium,6,10000,5970,inforest,2954,5.750000
10000,inforest,neg_strongly_corr,medium,7,10000,6090,inforest,2975,5.071000
10000,inforest,neg_strongly_corr,medium,8,10000,5994,inforest,2912,5.078000
10000,inforest,neg_strongly_corr,medium,9,10000,5985,inforest,2917,5.077000
10000,inforest,neg_strongly_corr,medium,10,10000,6045,inforest,2940,5.184000
10000,inforest,neg_strongly_corr,sparse,1,10000,2966,inforest,2553,3.941000
10000,inforest,neg_strongly_corr,sparse,2,10000,3023,inforest,2613,4.179000
10000,inforest,neg_strongly_corr,sparse,3,10000,2972,inforest,2613,3.940000
10000,inforest,neg_strongly_corr,sparse,4,10000,2998,inforest,2626,4.415000
10000,inforest,neg_strongly_corr,sparse,5,10000,3030,inforest,2622,4.584000
10000,inforest,neg_strongly_corr,sparse,6,10000,3024,inforest,2613,3.981000
10000,inforest,neg_strongly_corr,sparse,7,10000,3097,inforest,2637,5.658000
10000,inforest,neg_strongly_corr,sparse,8,10000,2916,inforest,2631,3.979000
10000,inforest,neg_strongly_corr,sparse,9,10000,2938,inforest,2602,5.930000
10000,inforest,neg_strongly_corr,sparse,10,10000,2952,inforest,2605,5.892000
10000,inforest,neg_strongly_corr,tree,1,10000,9999,inforest,2500,6.765000
10000,inforest,neg_strongly_corr,tree,2,10000,9999,inforest,2629,6.530000
10000,inforest,neg_strongly_corr,tree,3,10000,9999,inforest,2587,6.541000
10000,inforest,neg_strongly_corr,tree,4,10000,9999,inforest,2557,6.528000
10000,inforest,neg_strongly_corr,tree,5,10000,9999,inforest,2533,6.475000
10000,inforest,neg_strongly_corr,tree,6,10000,9999,inforest,2594,8.064000
10000,inforest,neg_strongly_corr,tree,7,10000,9999,inforest,2518,6.585000
10000,inforest,neg_strongly_corr,tree,8,10000,9999,inforest,2621,6.491000
10000,inforest,neg_strongly_corr,tree,9,10000,9999,inforest,2574,6.520000
10000,inforest,neg_strongly_corr,tree,10,10000,9999,inforest,2587,6.571000
10000,inforest,neg_uncorr,dense,1,10000,8998,inforest,5483,6.390000
10000,inforest,neg_uncorr,dense,2,10000,8982,inforest,5475,6.320000
10000,inforest,neg_uncorr,dense,3,10000,9014,inforest,5348,6.402000
10000,inforest,neg_uncorr,dense,4,10000,9002,inforest,5412,5.865000
10000,inforest,neg_uncorr,dense,5,10000,9035,inforest,5452,5.873000
10000,inforest,neg_uncorr,dense,6,10000,9007,inforest,5472,7.051000
10000,inforest,neg_uncorr,dense,7,10000,8923,inforest,5492,5.927000
10000,inforest,neg_uncorr,dense,8,10000,8963,inforest,5381,5.893000
10000,inforest,neg_uncorr,dense,9,10000,9022,inforest,5383,6.969000
10000,inforest,neg_uncorr,dense,10,10000,8950,inforest,5505,7.498000
10000,inforest,neg_uncorr,medium,1,10000,6053,inforest,6924,4.781000
10000,inforest,neg_uncorr,medium,2,10000,6045,inforest,6829,5.490000
10000,inforest,neg_uncorr,medium,3,10000,5996,inforest,6791,4.923000
10000,inforest,neg_uncorr,medium,4,10000,6021,inforest,6786,5.725000
10000,inforest,neg_uncorr,medium,5,10000,6004,inforest,6838,4.809000
10000,inforest,neg_uncorr,medium,6,10000,6006,inforest,6872,4.782000
10000,inforest,neg_uncorr,medium,7,10000,6043,inforest,6832,4.853000
10000,inforest,neg_uncorr,medium,8,10000,5945,inforest,6894,5.077000
10000,inforest,neg_uncorr,medium,9,10000,6087,inforest,6789,4.855000
10000,inforest,neg_uncorr,medium,10,10000,5919,inforest,7001,6.230000
10000,inforest,neg_uncorr,sparse,1,10000,3019,inforest,8338,4.096000
10000,inforest,neg_uncorr,sparse,2,10000,3018,inforest,8352,4.087000
10000,inforest,neg_uncorr,sparse,3,10000,2967,inforest,8388,4.116000
10000,inforest,neg_uncorr,sparse,4,10000,3009,inforest,8365,4.059000
10000,inforest,neg_uncorr,sparse,5,10000,3045,inforest,8352,4.314000
10000,inforest,neg_uncorr,sparse,6,10000,3056,inforest,8334,4.111000
10000,inforest,neg_uncorr,sparse,7,10000,2992,inforest,8343,4.046000
10000,inforest,neg_uncorr,sparse,8,10000,2970,inforest,8334,4.289000
10000,inforest,neg_uncorr,sparse,9,10000,3021,inforest,8372,4.108000
10000,inforest,neg_uncorr,sparse,10,10000,2995,inforest,8384,4.066000
10000,inforest,neg_uncorr,tree,1,10000,9999,inforest,4949,6.516000
10000,inforest,neg_uncorr,tree,2,10000,9999,inforest,4971,6.683000
10000,inforest,neg_uncorr,tree,3,10000,9999,inforest,4977,6.405000
10000,inforest,neg_uncorr,tree,4,10000,9999,inforest,4857,6.408000
10000,inforest,neg_uncorr,tree,5,10000,9999,inforest,4985,6.142000
10000,inforest,neg_uncorr,tree,6,10000,9999,inforest,5001,6.271000
10000,inforest,neg_uncorr,tree,7,10000,9999,inforest,4822,6.165000
10000,inforest,neg_uncorr,tree,8,10000,9999,inforest,4937,6.111000
10000,inforest,neg_uncorr,tree,9,10000,9999,inforest,4992,6.088000
10000,inforest,neg_uncorr,tree,10,10000,9999,inforest,4967,6.116000
10000,inforest,neg_weakly_corr,dense,1,10000,8953,inforest,4658,6.062000
10000,inforest,neg_weakly_corr,dense,2,10000,8971,inforest,4696,5.932000
10000,inforest,neg_weakly_corr,dense,3,10000,9039,inforest,4625,6.253000
10000,inforest,neg_weakly_corr,dense,4,10000,9037,inforest,4749,6.397000
10000,inforest,neg_weakly_corr,dense,5,10000,9015,inforest,4698,6.058000
