n,topo_dir,kp_class,density,seed,n_nodes,n_arcs,topology,n_macroitems,algorithm_ms
10000,outforest,neg_strongly_corr,dense,1,10000,9003,outforest,2634,5.955000
10000,outforest,neg_strongly_corr,dense,2,10000,8981,outforest,2645,5.763000
10000,outforest,neg_strongly_corr,dense,3,10000,8982,outforest,2581,5.768000
10000,outforest,neg_strongly_corr,dense,4,10000,9020,outforest,2673,5.810000
10000,outforest,neg_strongly_corr,dense,5,10000,9001,outforest,2652,5.806000
10000,outforest,neg_strongly_corr,dense,6,10000,9030,outforest,2622,5.737000
10000,outforest,neg_strongly_corr,dense,7,10000,8981,outforest,2625,5.717000
10000,outforest,neg_strongly_corr,dense,8,10000,8955,outforest,2601,5.803000
10000,outforest,neg_strongly_corr,dense,9,10000,9014,outforest,2601,5.844000
10000,outforest,neg_strongly_corr,dense,10,10000,8989,outforest,2651,5.970000
10000,outforest,neg_strongly_corr,medium,1,10000,6019,outforest,2850,4.872000
10000,outforest,neg_strongly_corr,medium,2,10000,5991,outforest,2877,4.822000
10000,outforest,neg_strongly_corr,medium,3,10000,6085,outforest,2864,5.463000
10000,outforest,neg_strongly_corr,medium,4,10000,5924,outforest,2839,4.976000
10000,outforest,neg_strongly_corr,medium,5,10000,5955,outforest,2866,4.895000
10000,outforest,neg_strongly_corr,medium,6,10000,5915,outforest,2876,4.767000
10000,outforest,neg_strongly_corr,medium,7,10000,5946,outforest,2855,6.440000
10000,outforest,neg_strongly_corr,medium,8,10000,6086,outforest,2810,4.907000
10000,outforest,neg_strongly_corr,medium,9,10000,6032,outforest,2904,4.905000
10000,outforest,neg_strongly_corr,medium,10,10000,5923,outforest,2884,4.851000
10000,outforest,neg_strongly_corr,sparse,1,10000,3084,outforest,2613,3.976000
10000,outforest,neg_strongly_corr,sparse,2,10000,2973,outforest,2618,4.006000
10000,outforest,neg_strongly_corr,sparse,3,10000,3010,outforest,2607,4.188000
10000,outforest,neg_strongly_corr,sparse,4,10000,3001,outforest,2597,3.966000
10000,outforest,neg_strongly_corr,sparse,5,10000,3010,outforest,2641,4.020000
10000,outforest,neg_strongly_corr,sparse,6,10000,3037,outforest,2647,4.215000
10000,outforest,neg_strongly_corr,sparse,7,10000,2936,outforest,2582,3.959000
10000,outforest,neg_strongly_corr,sparse,8,10000,3011,outforest,2611,4.140000
10000,outforest,neg_strongly_corr,sparse,9,10000,3061,outforest,2651,3.996000
10000,outforest,neg_strongly_corr,sparse,10,10000,3009,outforest,2604,3.971000
10000,outforest,neg_strongly_corr,tree,1,10000,9999,outforest,2418,6.100000
10000,outforest,neg_strongly_corr,tree,2,10000,9999,outforest,2351,6.509000
10000,outforest,neg_strongly_corr,tree,3,10000,9999,outforest,2392,6.261000
10000,outforest,neg_strongly_corr,tree,4,10000,9999,outforest,2364,6.336000
10000,outforest,neg_strongly_corr,tree,5,10000,9999,outforest,2391,6.229000
10000,outforest,neg_strongly_corr,tree,6,10000,9999,outforest,2402,6.100000
10000,outforest,neg_strongly_corr,tree,7,10000,9999,outforest,2383,6.141000
10000,outforest,neg_strongly_corr,tree,8,10000,9999,outforest,2365,7.234000
10000,outforest,neg_strongly_corr,tree,9,10000,9999,outforest,2366,6.176000
10000,outforest,neg_strongly_corr,tree,10,10000,9999,outforest,2395,6.189000
10000,outforest,neg_uncorr,dense,1,10000,9029,outforest,5769,5.976000
10000,outforest,neg_uncorr,dense,2,10000,9060,outforest,5695,5.860000
